sku,slugname
1063,-kesh-o-chocolate-active-leave-in-after-liss-leave-in-240ml
868,-kesh-o-chocolate-active-mascara-after-liss-condicionador-240ml
867,-kesh-o-chocolate-active-shampoo-after-liss-shampoo-240ml
861,-kesh-o-inner-repair-brushing-protetor-termico-finalizador-200ml
625,-kesh-o-leave-in-volume-control-sem-enxague-leave-in-200ml
863,-kesh-o-liss-alisamento-temporario-finalizador-200ml
624,-kesh-o-mascara-volume-control-condicionador-200ml
623,-kesh-o-shampoo-volume-control-shampoo-250ml
862,-kesh-o-volume-control-activator-finalizador-200ml
173,-keune-air-fix-spray-finalizador-200ml
175,-keune-blow-heat-protectant-protetor-termico-200ml
376,-keune-care-line-anti-dandruff-shampoo-250ml
203,-keune-care-line-dry-porous-e-damaged-hair-conditioner-leave-in-condicionador-sem-enxague-50ml
972,-keune-care-line-dry-porous-e-damaged-hair-lotion-locao-de-tratamento-75ml
121,-keune-care-line-dry-porous-e-damaged-hair-reconstructor-condicionador-de-tratamento-200ml
971,-keune-care-line-dry-porous-e-damaged-hair-shampoo-250ml
95,-keune-care-line-hair-mask-mascara-100ml
970,-keune-care-line-lotion-fine-delicate-e-hair-loss-locao-75ml
967,-keune-care-line-lotion-oily-scalp-e-hair-locao-75ml
156,-keune-care-line-mousse-styling-modelador-200ml
377,-keune-care-line-oily-scalp-e-hair-shampoo-250ml
128,-keune-care-line-peeling-anti-dandruff-tratamento-4x20ml
969,-keune-care-line-shampoo-fine-delicate-e-hair-loss-250ml
123,-keune-care-line-shampoo-volume-shampoo-250ml
145,-keune-design-texturizer-modelador-250ml
980,-keune-intesive-hair-repair-condicionador-tratamento-200ml
129,-keune-kit-care-line-shampoo-e-lotion-anti-dandruff-250ml-2-produtos
130,-keune-kit-care-line-shampoo-e-lotion-oily-scalp-e-hair-shampoo-e-locao-250ml-2-produtos
966,-keune-lotion-anti-dandruff-75ml
1331,-keune-mousse-brushing-soft-finalizador-500ml
1305,-keune-pearl-shine-gel-finalizador-100ml
163,-keune-shaping-foam-modelador-250ml
1306,-keune-steel-glaze-styling-finalizador-200ml
171,-keune-straight-e-style-200ml
127,-keune-sun-care-hair-e-body-shampoo-250ml
136,-keune-sun-care-hair-styling-sun-protection-tratamento-150ml
135,-keune-sun-care-line-after-sun-hair-treatment-condicionador-150ml
1236,-keune-sun-care-line-gelee-spray-styling-150ml
137,-keune-sun-care-protection-oil-hair-e-body-tratamento-125ml
1282,-kit-joico-k-pak-reconstruct-2-produtos
15274,-la-perla-conjunto-divina-feminino-30ml-shower-gel
1242,-lanza-art-elements-sequin-anti-frizz-styling-shimmer-fixador-75g
1006,-lanza-hair-repair-formula-kit-3-produtos
234,-lanza-healing-color-care-design-gel-gel-modelador-150ml
233,-lanza-healing-color-care-fade-protector-e-moisturizer-tratamento-finalizador-150ml
236,-lanza-healing-color-care-finishing-spray-spray-modelador-300ml
235,-lanza-healing-color-care-shine-glistener-spray-spray-finalizador-200ml
370,-lanza-kit-anti-envelhecimento-3-produtos
20768,-lanza-kit-hcc-trio
244,-lanza-magic-bullet-tratamento-125ml
243,-lanza-swim-e-sun-daily-uv-protector-condicionador-leave-in-150ml
371,-lanza-swim-e-sun-kit-verao-3-produtos
198,-lanza-volume-bodifying-liquid-body-styling-cream-modelador-200ml
5133,-loreal-professionnel-absolut-reapair-cellular-lactic-acid-cleansing-balm-250ml
